0.0000,223,420
0.0417,222,427
0.0834,222,424
0.1251,223,421
0.1668,222,425
0.2085,222,433
0.2503,222,430
0.2920,221,430
0.3337,223,431
0.3754,221,437
0.4171,221,435
0.4588,223,435
0.5005,222,437
0.5422,220,436
0.5839,220,437
0.6256,221,437
0.6673,221,437
0.7090,219,436
0.7507,220,435
0.7925,220,437
0.8342,220,436
0.8759,216,437
0.9176,217,437
0.9593,218,436
1.0010,216,437
1.0427,212,438
1.0844,214,437
1.1261,215,437
1.1678,212,438
1.2095,209,438
1.2513,210,438
1.2930,211,438
1.3347,210,438
1.3764,207,439
1.4181,208,438
1.4598,209,438
1.5015,207,439
1.5432,208,439
1.5849,205,439
1.6266,210,439
1.6683,209,439
1.7100,205,439
1.7518,206,439
1.7935,207,439
1.8352,206,439
1.8769,203,440
1.9186,200,441
1.9603,204,440
2.0020,203,440
2.0437,200,442
2.0854,197,442
2.1271,198,442
2.1688,197,442
2.2105,198,443
2.2522,199,443
2.2940,196,443
2.3357,199,443
2.3774,196,444
2.4191,197,444
2.4608,198,443
2.5025,196,444
2.5442,194,445
2.5859,195,445
2.6276,195,444
2.6693,194,445
2.7110,193,445
2.7528,193,445
2.7945,194,445
2.8362,193,445
2.8779,192,446
2.9196,192,446
2.9613,192,446
3.0030,192,446
3.0447,190,446
3.0864,191,446
3.1281,191,446
3.1698,190,446
3.2115,189,447
3.2533,189,447
3.2950,190,446
3.3367,189,447
3.3784,186,447
3.4201,187,447
3.4618,188,447
3.5035,187,447
3.5452,185,447
3.5869,185,447
3.6286,186,447
3.6703,185,447
3.7120,183,448
3.7537,184,447
3.7955,185,447
3.8372,183,448
3.8789,181,448
3.9206,182,448
3.9623,182,448
4.0040,181,448
4.0457,178,448
4.0874,179,447
4.1291,180,447
4.1708,178,447
4.2125,177,448
4.2543,178,448
4.2960,178,448
4.3377,177,448
4.3794,175,449
4.4211,176,448
4.4628,177,448
4.5045,175,448
4.5462,173,449
4.5879,174,449
4.6296,175,449
4.6713,174,449
4.7130,173,450
4.7548,173,450
4.7965,173,449
4.8382,173,450
4.8799,173,452
4.9216,173,451
4.9633,173,450
5.0050,173,451
5.0467,172,451
5.0884,173,452
5.1301,173,452
5.1718,172,452
5.2135,172,451
5.2552,172,451
5.2970,172,451
5.3387,172,451
5.3804,172,452
5.4221,172,452
5.4638,172,452
5.5055,172,452
5.5472,170,453
5.5889,171,453
5.6306,171,453
5.6723,170,453
5.7140,169,454
5.7558,170,454
5.7975,170,453
5.8392,170,454
5.8809,168,455
5.9226,168,455
5.9643,169,454
6.0060,168,455
6.0477,166,457
6.0894,166,456
6.1311,167,456
6.1728,166,457
6.2145,163,459
6.2563,164,458
6.2980,165,457
6.3397,163,459
6.3814,159,460
6.4231,160,460
6.4648,160,459
6.5065,160,460
6.5482,157,461
6.5899,158,461
6.6316,159,460
6.6733,158,461
6.7150,155,463
6.7567,156,462
6.7985,157,461
6.8402,156,462
6.8819,151,464
6.9236,153,463
6.9653,154,463
7.0070,152,464
7.0487,149,465
7.0904,150,465
7.1321,151,465
7.1738,149,465
7.2155,145,468
7.2572,146,467
7.2990,148,466
7.3407,146,467
7.3824,142,468
7.4241,144,468
7.4658,143,468
7.5075,141,469
7.5492,137,471
7.5909,139,470
7.6326,140,470
7.6743,138,471
7.7160,134,473
7.7578,135,473
7.7995,136,472
7.8412,134,473
7.8829,131,475
7.9246,133,474
7.9663,133,473
8.0080,132,474
8.0497,127,478
8.0914,130,476
8.1331,131,475
8.1748,128,477
8.2165,123,480
8.2582,125,479
8.3000,126,478
8.3417,124,480
8.3834,120,483
8.4251,121,482
8.4668,122,481
8.5085,120,483
8.5502,117,486
8.5919,118,484
8.6336,119,484
8.6753,118,485
8.7170,115,490
8.7588,116,488
8.8005,116,487
8.8422,115,489
8.8839,114,490
8.9256,114,490
8.9673,114,489
9.0090,114,490
9.0507,115,491
9.0924,116,490
9.1341,113,491
9.1758,115,491
9.2175,112,493
9.2593,114,492
9.3010,114,492
9.3427,113,492
9.3844,110,494
9.4261,112,493
9.4678,112,493
9.5095,111,494
9.5512,107,495
9.5929,108,495
9.6346,109,495
9.6763,108,495
9.7180,105,497
9.7597,106,496
9.8015,107,496
9.8432,105,496
9.8849,102,498
9.9266,104,497
9.9683,104,497
10.0100,103,497
10.0517,99,499
10.0934,100,499
10.1351,101,498
10.1768,99,499
10.2185,98,500
10.2603,99,499
10.3020,99,499
10.3437,99,500
10.3854,97,500
10.4271,98,500
10.4688,98,500
10.5105,97,500
10.5522,94,501
10.5939,95,501
10.6356,96,500
10.6773,94,501
10.7190,92,501
10.7608,93,500
10.8025,93,501
10.8442,93,500
10.8859,91,500
10.9276,92,500
10.9693,92,500
11.0110,91,500
11.0527,89,500
11.0944,90,500
11.1361,91,500
11.1778,89,500
11.2195,86,501
11.2612,87,500
11.3030,88,500
11.3447,87,500
11.3864,84,501
11.4281,85,501
11.4698,86,500
11.5115,85,501
11.5532,83,502
11.5949,83,501
11.6366,84,501
11.6783,83,501
11.7200,81,503
11.7618,82,502
11.8035,82,502
11.8452,81,502
11.8869,80,502
11.9286,81,502
11.9703,81,503
12.0120,80,502
12.0537,79,503
